Imagen,Ruta,Ancho,Alto,Calidad
VentSuc01_2025-08-18_16-28-28_RS_T67_15.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-28_RS_T67_15.png,360,288,422
VentSuc01_2025-08-18_16-28-28_RS_T75_16.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-28_RS_T75_16.png,351,288,No_Calidad
VentSuc01_2025-08-18_16-28-28_RS_T57_7.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-28_RS_T57_7.png,340,288,No_Calidad
VentSuc01_2025-08-18_16-28-28_RS_T68_12.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-28_RS_T68_12.png,283,288,422
VentSuc01_2025-08-18_16-28-28_RS_T70_8.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-28_RS_T70_8.png,332,288,No_Calidad
VentSuc01_2025-08-18_16-28-28_RS_T71_9.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-28_RS_T71_9.png,329,288,No_Calidad
VentSuc01_2025-08-18_16-28-28_RS_T76_10.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-28_RS_T76_10.png,346,288,No_Calidad
VentSuc01_2025-08-18_16-28-29_RS_T58_25.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-29_RS_T58_25.png,362,288,No_Calidad
VentSuc01_2025-08-18_16-28-28_RS_T71_13.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-28_RS_T71_13.png,354,288,No_Calidad
VentSuc01_2025-08-18_16-28-29_RS_T60_24.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-29_RS_T60_24.png,360,288,No_Calidad
VentSuc01_2025-08-18_16-28-29_RS_T47_26.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-29_RS_T47_26.png,355,288,No_Calidad
VentSuc01_2025-08-18_16-28-29_RS_T54_22.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-29_RS_T54_22.png,367,288,No_Calidad
VentSuc01_2025-08-18_16-28-29_RS_T77_18.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-29_RS_T77_18.png,356,288,No_Calidad
VentSuc01_2025-08-18_16-28-29_RS_T62_19.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-29_RS_T62_19.png,284,288,422
VentSuc01_2025-08-18_16-28-29_RS_T75_21.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-29_RS_T75_21.png,356,288,No_Calidad
VentSuc01_2025-08-18_16-28-28_RS_T78_14.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-28_RS_T78_14.png,346,288,No_Calidad
VentSuc01_2025-08-18_16-28-29_RS_T78_20.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-29_RS_T78_20.png,356,288,No_Calidad
VentSuc01_2025-08-18_16-28-30_RS_T56_30.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-30_RS_T56_30.png,318,288,No_Calidad
VentSuc01_2025-08-18_16-28-29_RS_T65_23.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-29_RS_T65_23.png,361,288,No_Calidad
VentSuc01_2025-08-18_16-28-31_RS_T71_31.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-31_RS_T71_31.png,311,288,422
VentSuc01_2025-08-18_16-28-30_RS_T47_28.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-30_RS_T47_28.png,349,288,No_Calidad
VentSuc01_2025-08-18_16-28-30_RS_T45_29.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-30_RS_T45_29.png,354,288,No_Calidad
VentSuc02_2025-08-19_16-23-25_RS_T78_3.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc02/VentSuc02_2025-08-19_16-23-25_RS_T78_3.png,453,288,No_Calidad
VentSuc01_2025-08-18_16-28-30_RS_T52_27.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc01/VentSuc01_2025-08-18_16-28-30_RS_T52_27.png,354,288,No_Calidad
VentSuc02_2025-08-19_16-23-25_RS_T80_8.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc02/VentSuc02_2025-08-19_16-23-25_RS_T80_8.png,454,288,No_Calidad
VentSuc02_2025-08-19_16-23-25_RS_T80_2.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc02/VentSuc02_2025-08-19_16-23-25_RS_T80_2.png,458,288,No_Calidad
VentSuc02_2025-08-19_16-23-25_RS_T81_1.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc02/VentSuc02_2025-08-19_16-23-25_RS_T81_1.png,427,288,No_Calidad
VentSuc02_2025-08-19_16-23-25_RS_T80_6.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc02/VentSuc02_2025-08-19_16-23-25_RS_T80_6.png,445,288,No_Calidad
VentSuc02_2025-08-19_16-23-25_RS_T78_7.png,C:/Users/angel/OneDrive/Documentos/GS/Mike/Insumos 1/Insumos/VentSuc02/VentSuc02_2025-08-19_16-23-25_RS_T78_7.png,451,288,No_Calidad
